"fleet_size","station","recommended_bikes"
100,"10",5
100,"11",6
100,"12",5
100,"13",6
100,"14",5
100,"15",6
100,"16",5
100,"17",5
100,"18",5
100,"19",5
100,"21",6
100,"22",6
100,"23",5
100,"4",5
100,"5",5
100,"6",5
100,"7",5
100,"8",5
100,"9",5
200,"10",10
200,"11",11
200,"12",11
200,"13",11
200,"14",10
200,"15",11
200,"16",11
200,"17",10
200,"18",11
200,"19",10
200,"21",11
200,"22",11
200,"23",10
200,"4",10
200,"5",10
200,"6",10
200,"7",11
200,"8",10
200,"9",11
500,"10",26
500,"11",27
500,"12",26
500,"13",27
500,"14",26
500,"15",27
500,"16",27
500,"17",26
500,"18",26
500,"19",26
500,"21",27
500,"22",27
500,"23",26
500,"4",26
500,"5",26
500,"6",26
500,"7",26
500,"8",26
500,"9",26
